Geography,Date,Weekly COVID-19 Hospital Admissions
United States,Feb 17 2024,18977
United States,Feb 10 2024,20129
United States,Feb  3 2024,21212
United States,Jan 27 2024,23297
United States,Jan 20 2024,25979
United States,Jan 13 2024,31161
United States,Jan  6 2024,35096
United States,Dec 30 2023,34903
United States,Dec 23 2023,29420
United States,Dec 16 2023,25197
United States,Dec  9 2023,23301
United States,Dec  2 2023,22898
United States,Nov 25 2023,19246
United States,Nov 18 2023,17830
United States,Nov 11 2023,16660
United States,Nov  4 2023,15082
United States,Oct 28 2023,16221
United States,Oct 21 2023,15919
United States,Oct 14 2023,16101
United States,Oct  7 2023,17153
United States,Sep 30 2023,18335
United States,Sep 23 2023,19440
United States,Sep 16 2023,19894
United States,Sep  9 2023,20695
United States,Sep  2 2023,19141
United States,Aug 26 2023,17452
United States,Aug 19 2023,15094
United States,Aug 12 2023,12746
United States,Aug  5 2023,10520
United States,Jul 29 2023,9084
United States,Jul 22 2023,8091
United States,Jul 15 2023,7202
United States,Jul  8 2023,6448
United States,Jul  1 2023,6485
United States,Jun 24 2023,6326
United States,Jun 17 2023,6688
United States,Jun 10 2023,6974
United States,Jun  3 2023,7450
United States,May 27 2023,7848
United States,May 20 2023,8453
United States,May 13 2023,9344
United States,May  6 2023,9731
United States,Apr 29 2023,10206
United States,Apr 22 2023,11846
United States,Apr 15 2023,13280
United States,Apr  8 2023,14446
United States,Apr  1 2023,15818
United States,Mar 25 2023,17226
United States,Mar 18 2023,18182
United States,Mar 11 2023,20228
United States,Mar  4 2023,22401
United States,Feb 25 2023,24087
United States,Feb 18 2023,25497
United States,Feb 11 2023,26428
United States,Feb  4 2023,26517
United States,Jan 28 2023,28337
United States,Jan 21 2023,31694
United States,Jan 14 2023,37611
United States,Jan  7 2023,44398
United States,Dec 31 2022,44538
United States,Dec 24 2022,39035
United States,Dec 17 2022,36664
United States,Dec 10 2022,34932
United States,Dec  3 2022,33901
United States,Nov 26 2022,26461
United States,Nov 19 2022,24132
United States,Nov 12 2022,23803
United States,Nov  5 2022,23590
United States,Oct 29 2022,23311
United States,Oct 22 2022,22776
United States,Oct 15 2022,22887
United States,Oct  8 2022,23578
United States,Oct  1 2022,24293
United States,Sep 24 2022,26849
United States,Sep 17 2022,28916
United States,Sep 10 2022,31571
United States,Sep  3 2022,34546
United States,Aug 27 2022,36922
United States,Aug 20 2022,38156
United States,Aug 13 2022,41114
United States,Aug  6 2022,42813
United States,Jul 30 2022,44026
United States,Jul 23 2022,44728
United States,Jul 16 2022,42572
United States,Jul  9 2022,38868
United States,Jul  2 2022,35751
United States,Jun 25 2022,32756
United States,Jun 18 2022,30421
United States,Jun 11 2022,29495
United States,Jun  4 2022,28200
United States,May 28 2022,26471
United States,May 21 2022,24511
United States,May 14 2022,20706
United States,May  7 2022,17451
United States,Apr 30 2022,14460
United States,Apr 23 2022,12314
United States,Apr 16 2022,10740
United States,Apr  9 2022,9998
United States,Apr  2 2022,10206
United States,Mar 26 2022,11656
United States,Mar 19 2022,14068
United States,Mar 12 2022,18284
United States,Mar  5 2022,25201
United States,Feb 26 2022,34543
United States,Feb 19 2022,48873
United States,Feb 12 2022,69796
United States,Feb  5 2022,95080
United States,Jan 29 2022,123524
United States,Jan 22 2022,140530
United States,Jan 15 2022,150650
United States,Jan  8 2022,136096
United States,Jan  1 2022,97667
United States,Dec 25 2021,60925
United States,Dec 18 2021,54528
United States,Dec 11 2021,54922
United States,Dec  4 2021,49838
United States,Nov 27 2021,43270
United States,Nov 20 2021,40897
United States,Nov 13 2021,37474
United States,Nov  6 2021,35247
