Geography,Date,Weekly Deaths,Death Data As Of
United States,Feb 17 2024,526,Feb 22 2024
United States,Feb 10 2024,1129,Feb 22 2024
United States,Feb  3 2024,1398,Feb 22 2024
United States,Jan 27 2024,1883,Feb 22 2024
United States,Jan 20 2024,2210,Feb 22 2024
United States,Jan 13 2024,2484,Feb 22 2024
United States,Jan  6 2024,2400,Feb 22 2024
United States,Dec 30 2023,2159,Feb 22 2024
United States,Dec 23 2023,1887,Feb 22 2024
United States,Dec 16 2023,1810,Feb 22 2024
United States,Dec  9 2023,1769,Feb 22 2024
United States,Dec  2 2023,1703,Feb 22 2024
United States,Nov 25 2023,1404,Feb 22 2024
United States,Nov 18 2023,1411,Feb 22 2024
United States,Nov 11 2023,1377,Feb 22 2024
United States,Nov  4 2023,1240,Feb 22 2024
United States,Oct 28 2023,1286,Feb 22 2024
United States,Oct 21 2023,1384,Feb 22 2024
United States,Oct 14 2023,1308,Feb 22 2024
United States,Oct  7 2023,1390,Feb 22 2024
United States,Sep 30 2023,1448,Feb 22 2024
United States,Sep 23 2023,1415,Feb 22 2024
United States,Sep 16 2023,1402,Feb 22 2024
United States,Sep  9 2023,1307,Feb 22 2024
United States,Sep  2 2023,1186,Feb 22 2024
United States,Aug 26 2023,1060,Feb 22 2024
United States,Aug 19 2023,918,Feb 22 2024
United States,Aug 12 2023,748,Feb 22 2024
United States,Aug  5 2023,669,Feb 22 2024
United States,Jul 29 2023,545,Feb 22 2024
United States,Jul 22 2023,536,Feb 22 2024
United States,Jul 15 2023,507,Feb 22 2024
United States,Jul  8 2023,489,Feb 22 2024
United States,Jul  1 2023,542,Feb 22 2024
United States,Jun 24 2023,578,Feb 22 2024
United States,Jun 17 2023,611,Feb 22 2024
United States,Jun 10 2023,633,Feb 22 2024
United States,Jun  3 2023,692,Feb 22 2024
United States,May 27 2023,740,Feb 22 2024
United States,May 20 2023,757,Feb 22 2024
United States,May 13 2023,836,Feb 22 2024
United States,May  6 2023,942,Feb 22 2024
United States,Apr 29 2023,1025,Feb 22 2024
United States,Apr 22 2023,1192,Feb 22 2024
United States,Apr 15 2023,1218,Feb 22 2024
United States,Apr  8 2023,1371,Feb 22 2024
United States,Apr  1 2023,1448,Feb 22 2024
United States,Mar 25 2023,1667,Feb 22 2024
United States,Mar 18 2023,1764,Feb 22 2024
United States,Mar 11 2023,1851,Feb 22 2024
United States,Mar  4 2023,1993,Feb 22 2024
United States,Feb 25 2023,2156,Feb 22 2024
United States,Feb 18 2023,2099,Feb 22 2024
